epoch,stage,train_loss,train_cls_loss,train_ord_loss,train_unc_loss,train_kan_loss,train_accuracy,val_loss,val_cls_loss,val_ord_loss,val_unc_loss,val_kan_loss,val_accuracy
1,1,0.6065988245347863,0.6065988245347863,0.0,0.0,0.0,54.02142857142857,2.319762113246512,0.16664281669766345,0.7404084503650665,2.825421689672673,0.0,93.3
2,1,0.6009788561833503,0.6009788561833503,0.0,0.0,0.0,58.57142857142857,2.3060323710137225,0.1529130829458541,0.7404084503650665,2.825421689672673,0.0,94.3
3,1,0.5288993817111945,0.5288993817111945,0.0,0.0,0.0,64.37857142857143,2.2650958616682826,0.11197655695549985,0.7404084503650665,2.825421689672673,0.0,95.63333333333334
4,1,0.5293299623139917,0.5293299623139917,0.0,0.0,0.0,65.23571428571428,2.265185278780917,0.11206598025053105,0.7404084503650665,2.825421689672673,0.0,96.5
5,1,0.5689551902075881,0.5689551902075881,0.0,0.0,0.0,61.69285714285714,2.26624521930167,0.11312592893521836,0.7404084503650665,2.825421689672673,0.0,96.13333333333334
6,1,0.4940863025149322,0.4940863025149322,0.0,0.0,0.0,70.76428571428572,1.9842735922082941,0.0533967293561139,0.7272661994112298,2.407221329973099,0.0,97.96666666666667
7,1,0.45611677899080666,0.45611677899080666,0.0,0.0,0.0,73.76428571428572,1.9162538267196494,0.04899903022228403,0.7130501707817646,2.308409264747133,0.0,98.76666666666667
8,1,0.381141170521254,0.381141170521254,0.0,0.0,0.0,77.27857142857142,1.9140244341911155,0.019728197835068753,0.7374468559914447,2.313698762274803,0.0,99.6
9,1,0.3752539106586217,0.3752539106586217,0.0,0.0,0.0,77.52857142857142,1.7639247521441033,0.05452642538287538,0.7316720859801515,1.9554524662646842,0.0,99.16666666666667
10,1,0.3439574015045594,0.3439574015045594,0.0,0.0,0.0,78.37142857142857,1.7938997009967237,0.0361328730755981,0.7255089986831584,2.0645156680269445,0.0,99.16666666666667
11,2,0.7270454721967583,0.3457043311706442,0.38134114107874023,0.0,0.0,78.56428571428572,1.4941763300844964,0.013463516624277813,0.028555038672416135,2.904315555349309,0.0,99.13333333333334
12,2,0.8003933520660178,0.3965973116422378,0.4037960401510811,0.0,0.0,76.27857142857142,1.2722457400027742,0.09037685322951763,0.09209557495852734,2.179546631397085,0.0,99.4
13,2,0.7027857862519244,0.3469032688537075,0.35588251560348083,0.0,0.0,75.14285714285714,1.182799757161039,0.06694291674710334,0.08958330726686944,2.0525470680378852,0.0,99.7
14,2,0.6710643277553519,0.3403728446470957,0.33069148479554733,0.0,0.0,75.81428571428572,1.2049136789555246,0.017436833626174545,0.028830920960357848,2.317291845666601,0.0,98.8
15,2,0.7649824440303327,0.3784747587318692,0.3865076858025644,0.0,0.0,76.05714285714286,1.1024106024427618,0.04041779277093233,0.05079548901065867,2.022394646989538,0.0,99.53333333333333
16,2,0.7002198468462126,0.341572202706019,0.35864764323976894,0.0,0.0,78.07857142857142,1.1616994522987527,0.008322187798454407,0.01544963510984436,2.275855259692415,0.0,99.8
17,2,0.7037358481360421,0.3432137913800009,0.360522058501374,0.0,0.0,78.41428571428571,1.0677127261111077,0.008445168250894293,0.016365960012487274,2.0858031879080103,0.0,99.83333333333333
18,2,0.735750316003801,0.3554494357065188,0.3803008799017226,0.0,0.0,77.26428571428572,1.0467193500792726,0.019549225417381907,0.028314609972244883,1.997711034531289,0.0,99.8
19,2,0.6939772326670923,0.34000391457170714,0.35397331669464704,0.0,0.0,76.44285714285714,1.061043935253265,0.027567434738925162,0.04179595501974542,1.9833610920195883,0.0,99.86666666666666
20,2,0.6891693893505619,0.3374855587579775,0.3516838300247442,0.0,0.0,77.98571428571428,1.0421913240818268,0.021780565678280718,0.0364861334178676,1.9678492495354185,0.0,99.8
21,2,0.703762241025425,0.3421306628523153,0.3616315757408717,0.0,0.0,76.82142857142857,1.0454483672659447,0.028540833040754846,0.03433530718246673,1.9651444452874205,0.0,99.83333333333333
22,2,0.7545706703307397,0.3614467819683856,0.3931238846145049,0.0,0.0,78.75,1.0827394489278184,0.0092326055003449,0.012062219234104169,2.1228892448100636,0.0,99.8
23,2,0.7301257585823726,0.34391508368459395,0.38621067326900244,0.0,0.0,79.47857142857143,1.033593329977482,0.024910625446825586,0.030465629645326037,1.9564341674459742,0.0,99.83333333333333
24,2,0.7051524852288751,0.3450646353003446,0.3600878530897181,0.0,0.0,76.45,1.0314821429709171,0.012958593339599828,0.02147346794446732,1.9941001648598529,0.0,99.9
25,2,0.7018695191728599,0.3388169308924245,0.36305258657003714,0.0,0.0,77.56428571428572,1.0614666653440354,0.03146769286707995,0.03630834520655744,1.9873812528366739,0.0,99.83333333333333
26,3,0.869080923969717,0.3200880811609459,0.3484386926555164,0.40110830683899046,0.0,77.44285714285714,-0.05479960230753777,0.051173894448166196,0.05890031503711609,-0.32974762326859414,0.0,99.86666666666666
27,3,0.6357126123522787,0.26460246617276406,0.29512151887642485,0.15197725228106254,0.0,80.57142857142857,-0.43327421837664665,0.010489918836491538,0.015787548563898877,-0.9191033700679211,0.0,99.83333333333333
28,3,0.8882394882778054,0.3387862804560942,0.36465152596218137,0.3696033657617765,0.0,77.70714285714286,-0.0571818212245373,0.052426105602941614,0.0650950276312676,-0.3494059078870936,0.0,99.83333333333333
29,3,0.8318347755870591,0.33187047223673205,0.3547538560692893,0.29042088589949966,0.0,78.0,-0.07513325899205309,0.0545109417685803,0.07030862700590428,-0.39990565719756677,0.0,99.86666666666666
30,3,0.6082233734530945,0.29897161154873825,0.30971089650910844,-0.0009182683281498413,0.0,77.08571428571429,0.010227358404626238,0.06971971865030045,0.09154722641440148,-0.3020791731616284,0.0,99.86666666666666
31,3,0.5749749394992715,0.2887638802996296,0.2995753615704412,-0.026728604937218913,0.0,77.95714285714286,-0.15812301469293047,0.03807250144792364,0.05463850807319296,-0.5016680489829246,0.0,99.9
32,3,0.7150356966542871,0.30958457387687177,0.33688585040692165,0.13713054002164843,0.0,77.70714285714286,-0.2124820759004735,0.03286309607644031,0.04641980233978718,-0.5835299476030025,0.0,99.86666666666666
33,3,0.6714933112978119,0.30084033704617436,0.31864323140707795,0.10401947782311129,0.0,77.67857142857143,-0.30215631948506577,0.02444060986980479,0.034776437274636106,-0.7227467374598726,0.0,99.86666666666666
34,3,0.7122142951782435,0.30413355789253366,0.32360915361997167,0.16894316829775022,0.0,79.00714285714285,-0.34533477812371355,0.0190564271934489,0.02791502132536249,-0.7846124495597596,0.0,99.83333333333333
35,3,0.8330587903080193,0.3110640533449852,0.3482850655128214,0.34741934041437356,0.0,78.63571428571429,-0.4416691814648344,0.013444965219798875,0.02017792494610903,-0.9505841434001923,0.0,99.9
36,3,0.9602676975842752,0.35222495003577087,0.3824856014014328,0.4511142959775718,0.0,77.87857142857143,-0.29148935780246205,0.027156787765945527,0.03713156243271016,-0.7115554181819267,0.0,99.86666666666666
37,3,0.8241844802890739,0.32574853071054927,0.352532199612387,0.29180749924215554,0.0,78.35,-0.33669777864471395,0.021976782979958868,0.03091279611467047,-0.7791747146464408,0.0,99.9
38,3,0.75027966179532,0.3141183334068644,0.33885867181648693,0.19460531628635375,0.0,78.98571428571428,-0.2317312943174484,0.03924535044488755,0.04556259794279616,-0.6330784831909423,0.0,99.9
39,3,0.8170143590398031,0.29361288518742945,0.33068196783767223,0.38543900236759554,0.0,81.05,-0.4341821638827628,0.014415339834274763,0.021103314361832243,-0.9394016316596497,0.0,99.86666666666666
40,3,0.9967566672457407,0.3286268186865648,0.37121325120841236,0.5938331865637508,0.0,77.95,-0.47117532758002584,0.014112349966184256,0.019876289934395476,-1.0103279377551788,0.0,99.9
41,4,0.8081337541818074,0.31360603268688186,0.3438540980632876,0.30134724501571425,0.0,80.00714285714285,-0.3730656458659375,0.01994286691571804,0.02780575967056954,-0.8416285426058667,0.0,99.86666666666666
42,4,0.9110841893476166,0.3415050757497381,0.37725724195652177,0.3846437421469996,0.0,77.05,-0.30116476308792195,0.025005236961581606,0.03531207611903231,-0.7229641568153462,0.0,99.86666666666666
43,4,0.6966050266539126,0.302665479206395,0.3282090077584941,0.1314610717562984,0.0,80.07142857142857,-0.3803986887982551,0.019481790905937234,0.026880299196915425,-0.8535215556621552,0.0,99.86666666666666
44,4,0.9974186921398661,0.32466194515802776,0.36433441796022165,0.6168446532582448,0.0,79.71428571428571,-0.4012535896072996,0.015966253711822184,0.02320914915663765,-0.8808579844363192,0.0,99.86666666666666
45,4,0.8696995220363957,0.3131889077300816,0.35294994456001416,0.4071213340378243,0.0,77.92142857142858,-0.3463089199776345,0.0224874638853238,0.030430050091223515,-0.7984528687406094,0.0,99.9
46,4,0.978075525940281,0.2955216596688577,0.33785691448076965,0.6893939195906735,0.0,79.55714285714286,-0.40164824876379457,0.018063054717284567,0.024985364459930583,-0.8893933372294649,0.0,99.86666666666666
47,4,0.9328181751446637,0.35068395210024167,0.3823195770499828,0.39962929394521396,0.0,77.33571428571429,-0.2723724640747334,0.025869684392943026,0.03874856503085887,-0.6739814275122703,0.0,99.86666666666666
48,4,0.7327881032541462,0.2665107187720789,0.2979720421629792,0.336610669797482,0.0,81.62857142857143,-0.4012488897176499,0.01831673270963291,0.024969234864445442,-0.889069712542473,0.0,99.86666666666666
49,4,0.8923187082607861,0.30635938579986055,0.35529234451927527,0.4613339587382666,0.0,78.76428571428572,-0.41961548461558973,0.015847514353771793,0.022796433121758573,-0.9165188657476547,0.0,99.86666666666666
50,4,1.1030625894019321,0.3107269675744717,0.35577577841415,0.8731197040340944,0.0,79.22857142857143,-0.4931327697444469,0.011963759707485108,0.017743081914538397,-1.0456792179574357,0.0,99.9
