epoch,stage,train_loss,train_cls_loss,train_ord_loss,train_unc_loss,train_kan_loss,train_accuracy,val_loss,val_cls_loss,val_ord_loss,val_unc_loss,val_kan_loss,val_accuracy
1,1,0.639700605921005,0.639700605921005,0.0,0.0,0.0,51.01428571428571,2.0388097851834397,0.206352801874597,0.0,2.380783907910611,1.2841300767786958,92.8
2,1,0.5492558993195018,0.5492558993195018,0.0,0.0,0.0,62.84285714285714,1.9724918286851112,0.14003483705381128,0.0,2.380783907910611,1.2841300767786958,95.23333333333333
3,1,0.5460715373323116,0.5460715373323116,0.0,0.0,0.0,62.607142857142854,1.9546781385198553,0.12222114942492322,0.0,2.380783907910611,1.2841300767786958,95.23333333333333
4,1,0.5213874868759417,0.5213874868759417,0.0,0.0,0.0,65.8,1.9338368240823136,0.10137983027132268,0.0,2.380783907910611,1.2841300767786958,96.23333333333333
5,1,0.5499889806049055,0.5499889806049055,0.0,0.0,0.0,64.70714285714286,1.937531500420672,0.10507451509066085,0.0,2.380783907910611,1.2841300767786958,96.43333333333334
6,1,0.49112354388213864,0.49112354388213864,0.0,0.0,0.0,68.99285714285715,1.8069968096753384,0.042078188461984724,0.0,2.2732684498137616,1.2565687939207604,98.06666666666666
7,1,0.42664838179767334,0.42664838179767334,0.0,0.0,0.0,73.23571428571428,1.5985433522691117,0.03413731274888553,0.0,1.8794992667563417,1.2493128148799246,98.7
8,1,0.36849385892125014,0.36849385892125014,0.0,0.0,0.0,75.18571428571428,1.5754816773089957,0.013801974924950009,0.0,1.8672915126415008,1.2560679050202066,98.83333333333333
9,1,0.38296846757147496,0.38296846757147496,0.0,0.0,0.0,75.30714285714286,1.5685560627186552,0.04071721563393131,0.0,1.8144044685871044,1.2412732427424573,99.56666666666666
10,1,0.35556185042119337,0.35556185042119337,0.0,0.0,0.0,78.20714285714286,1.6039790701358876,0.0707290352896807,0.0,1.8133867725412895,1.2531133008764146,99.4
11,2,0.36859802927705726,0.36859802927705726,0.0,0.0,0.0,76.16428571428571,1.5198872178158862,0.015422200694917999,0.0,1.7789158859151475,1.2300141498129418,99.53333333333333
12,2,0.3608193064176134,0.3608193064176134,0.0,0.0,0.0,77.30714285714286,1.493570365804307,0.014022902976919679,0.0,1.7281692383137155,1.2309256874500436,99.66666666666667
13,2,0.34663079742618785,0.34663079742618785,0.0,0.0,0.0,78.55,1.4927405740352386,0.012841331366291071,0.0,1.7250585758939703,1.2347399116830622,99.46666666666667
14,2,0.3567504567453892,0.3567504567453892,0.0,0.0,0.0,76.15,1.5119688485531098,0.019632129731806034,0.0,1.7534365907628486,1.231236828768507,99.73333333333333
15,2,0.35010961041875216,0.35010961041875216,0.0,0.0,0.0,77.8,1.5295417575125998,0.030067681354728152,0.0,1.7638275103366121,1.235120659178876,99.73333333333333
16,2,0.3221555144783082,0.3221555144783082,0.0,0.0,0.0,76.23571428571428,1.5191862139296024,0.03217705238134937,0.0,1.7568035671051512,1.2172147549213248,99.66666666666667
17,2,0.3625755085446792,0.3625755085446792,0.0,0.0,0.0,77.00714285714285,1.4860746429321614,0.019782716299387368,0.0,1.7185183687412993,1.2140654794713284,99.73333333333333
18,2,0.2977134285426211,0.2977134285426211,0.0,0.0,0.0,80.91428571428571,1.4781899515618668,0.0177185654917613,0.0,1.6941479850322643,1.2267947824711496,99.83333333333333
19,2,0.331657998514084,0.331657998514084,0.0,0.0,0.0,79.18571428571428,1.5042671104694934,0.015873444861078514,0.0,1.7432543495868116,1.2335329582082464,99.83333333333333
20,2,0.37091111571668356,0.37091111571668356,0.0,0.0,0.0,78.05714285714286,1.4941490203776258,0.015318891489283835,0.0,1.7393853081033586,1.218274954785692,99.83333333333333
21,2,0.3256544020171046,0.3256544020171046,0.0,0.0,0.0,79.44285714285714,1.4878183451104672,0.015533678778546287,0.0,1.7216528539961957,1.2229164769040777,99.86666666666666
22,2,0.3069894088940646,0.3069894088940646,0.0,0.0,0.0,79.52857142857142,1.4759060765834564,0.013586640585847992,0.0,1.6930252478477803,1.2316136233350063,99.83333333333333
23,2,0.3394199824861435,0.3394199824861435,0.0,0.0,0.0,78.9,1.508947842932762,0.02533446167139931,0.0,1.7276090878121397,1.2396176704700956,99.86666666666666
24,2,0.3196465974931543,0.3196465974931543,0.0,0.0,0.0,79.43571428571428,1.5041185528674024,0.031085771171653523,0.0,1.7029427898691056,1.2431227805766654,99.83333333333333
25,2,0.33554485451897403,0.33554485451897403,0.0,0.0,0.0,79.13571428571429,1.5089823413402477,0.019562029111337788,0.0,1.7308032550710313,1.2480373731318941,99.83333333333333
26,3,0.48670111430732355,0.316028347384949,0.0,0.34134553849365407,0.0,78.00714285714285,0.3287342710697905,0.030553201372002032,0.0,-0.5596798991269254,1.1560420381261947,99.86666666666666
27,3,0.4312202922710681,0.32049824387477244,0.0,0.22144410028824046,0.0,78.53571428571429,0.30421225377853883,0.025876492499671083,0.0,-0.6384027419572181,1.1950742621371087,99.86666666666666
28,3,0.5493849627758678,0.31389587991815127,0.0,0.4709781648667708,0.0,79.28571428571429,0.06771904356936191,0.006917354108349598,0.0,-1.0720043518441789,1.193607729166112,99.83333333333333
29,3,0.7322765244043445,0.35171897269755636,0.0,0.761115095369756,0.0,78.61428571428571,0.029011342753755286,0.010445519157269217,0.0,-1.1304229149158964,1.1675545623961916,99.8
30,3,0.9087179046396388,0.35865953182985,0.0,1.1001167477589084,0.0,78.71428571428571,0.2117603912632516,0.021177640660329067,0.0,-0.7618705668347947,1.143036071290361,99.83333333333333
31,3,0.6394825277671422,0.3163941949528863,0.0,0.6461766726936992,0.0,79.49285714285715,0.03943671603152092,0.011134563355726447,0.0,-1.0759743331594671,1.1325786392739479,99.83333333333333
32,3,0.5805993388964025,0.31964966974853215,0.0,0.5218993378207768,0.0,77.92857142857143,0.06818812388054868,0.010795822243226018,0.0,-1.0369999903313658,1.1517845969250862,99.83333333333333
33,3,0.7226942261196163,0.36748491723109544,0.0,0.7104186177100629,0.0,75.97142857142858,0.17223886574836486,0.01823218272840406,0.0,-0.8583994076607075,1.1664127739185983,99.83333333333333
